"""Customer Provided Item"" cannot be Purchase Item also","""Vật tư khách hàng cung cấp"" không thể đồng thời là ""Vật tư mua vào"""
"""Customer Provided Item"" cannot have Valuation Rate","""Vật tư khách hàng cung cấp"" không thể có Tỷ lệ định giá"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Là Tài sản cố định"" không thể bỏ chọn, vì đã có bản ghi Tài sản liên quan đến vật tư này"
Based On' and 'Group By' can not be same,Dựa trên' và 'Nhóm theo' không thể giống nhau
Days Since Last Order' must be greater than or equal to zero,Số ngày kể từ Đơn hàng cuối' phải lớn hơn hoặc bằng không
Entries' cannot be empty,Các mục nhập' không được để trống
From Date' is required,Từ ngày' là bắt buộc
From Date' must be after 'To Date',Từ ngày' phải sau 'Đến ngày'
Has Serial No' can not be 'Yes' for non-stock item,Có Số Serial' không thể là 'Có' đối với vật tư không lưu kho
Opening',Mở đầu' / 'Số dư đầu kỳ'
To Case No.' cannot be less than 'From Case No.',Đến Số Phiếu' không thể nhỏ hơn 'Từ Số Phiếu'
To Date' is required,Đến ngày' là bắt buộc
Total',Tổng cộng'
Update Stock' can not be checked because items are not delivered via {0},Cập nhật kho' không thể chọn vì các vật tư không được giao qua {0}
Update Stock' cannot be checked for fixed asset sale,Cập nhật kho' không thể chọn khi bán tài sản cố định
1 exact match.,1 kết quả khớp chính xác.
90-Above,90 ngày trở lên
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Nhóm Khách hàng có tên tương tự đã tồn tại, vui lòng thay đổi tên Khách hàng hoặc đổi tên Nhóm Khách hàng"
A Default Service Level Agreement already exists.,Một Thỏa thuận Mức độ Dịch vụ Mặc định đã tồn tại.
A Lead requires either a person's name or an organization's name,Một Khách hàng tiềm năng yêu cầu tên cá nhân hoặc tên tổ chức
A customer with the same name already exists,Một khách hàng có tên tương tự đã tồn tại
A question must have more than one options,Một câu hỏi phải có nhiều hơn một lựa chọn
A qustion must have at least one correct options,Một câu hỏi phải có ít nhất một lựa chọn đúng
A4,A4
API Endpoint,Điểm cuối API
API Key,Khóa API
Abbr can not be blank or space,Viết tắt không được để trống hoặc có khoảng trắng
Abbreviation already used for another company,Từ viết tắt đã được sử dụng cho một công ty khác
Abbreviation cannot have more than 5 characters,Từ viết tắt không được có quá 5 ký tự
Abbreviation is mandatory,Từ viết tắt là bắt buộc
About the Company,Về công ty
About your company,Về công ty của bạn
Above,Trên
Academic Term,Kỳ học
Academic Term:,Kỳ học:
Academic Year,Năm học
Academic Year:,Năm học:
Accepted + Rejected Qty must be equal to Received quantity for Item {0},SL Chấp nhận + SL Từ chối phải bằng SL Nhận được cho Vật tư {0}
Access Token,Mã truy cập
Accessable Value,Giá trị có thể truy cập
Account,Tài khoản
Account Number,Số tài khoản
Account Number {0} already used in account {1},Số tài khoản {0} đã được sử dụng trong tài khoản {1}
Account Pay Only,Chỉ thanh toán tài khoản
Account Type,Loại tài khoản
Account Type for {0} must be {1},Loại tài khoản cho {0} phải là {1}
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Số dư tài khoản đã có bên Có, bạn không được phép đặt 'Số dư phải là' Nợ"
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Số dư tài khoản đã có bên Nợ, bạn không được phép đặt 'Số dư phải là' Có"
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Số tài khoản cho tài khoản {0} không có sẵn. Vui lòng thiết lập Sơ đồ tài khoản của bạn một cách chính xác.
Account with child nodes cannot be converted to ledger,Tài khoản có nút con không thể chuyển đổi thành sổ cái
Account with child nodes cannot be set as ledger,Tài khoản có nút con không thể đặt làm sổ cái
